Vehicle,Model,Make,Type,Year,Sales
Chevy Volt,Chevy,Volt,PHEV,2011,7671
Chevy Volt,Chevy,Volt,PHEV,2012,23461
Chevy Volt,Chevy,Volt,PHEV,2013,23094
Chevy Volt,Chevy,Volt,PHEV,2014,18805
Chevy Volt,Chevy,Volt,PHEV,2015,15393
Chevy Volt,Chevy,Volt,PHEV,2016,24739
Chevy Volt,Chevy,Volt,PHEV,2017,20349
Chevy Volt,Chevy,Volt,PHEV,2018,18306
Chevy Volt,Chevy,Volt,PHEV,2019,4915
Nissan Leaf,Nissan,Leaf,EV,2011,9674
Nissan Leaf,Nissan,Leaf,EV,2012,9819
Nissan Leaf,Nissan,Leaf,EV,2013,22610
Nissan Leaf,Nissan,Leaf,EV,2014,30200
Nissan Leaf,Nissan,Leaf,EV,2015,17269
Nissan Leaf,Nissan,Leaf,EV,2016,14006
Nissan Leaf,Nissan,Leaf,EV,2017,11230
Nissan Leaf,Nissan,Leaf,EV,2018,14715
Nissan Leaf,Nissan,Leaf,EV,2019,12365
Smart ED,Smart,ED,EV,2011,342
Smart ED,Smart,ED,EV,2012,139
Smart ED,Smart,ED,EV,2013,923
Smart ED,Smart,ED,EV,2014,2594
Smart ED,Smart,ED,EV,2015,1387
Smart ED,Smart,ED,EV,2016,657
Smart ED,Smart,ED,EV,2017,544
Smart ED,Smart,ED,EV,2018,1219
Smart ED,Smart,ED,EV,2019,680
Toyota Prius,Toyota,Prius,PHEV,2011,0
Toyota Prius,Toyota,Prius,PHEV,2012,12749
Toyota Prius,Toyota,Prius,PHEV,2013,12088
Toyota Prius,Toyota,Prius,PHEV,2014,13264
Toyota Prius,Toyota,Prius,PHEV,2015,4191
Toyota Prius,Toyota,Prius,PHEV,2016,2474
Toyota Prius,Toyota,Prius,PHEV,2017,20936
Toyota Prius,Toyota,Prius,PHEV,2018,27595
Toyota Prius,Toyota,Prius,PHEV,2019,23630
Ford Focus Electric,Ford,Focus Electric,EV,2011,0
Ford Focus Electric,Ford,Focus Electric,EV,2012,683
Ford Focus Electric,Ford,Focus Electric,EV,2013,1738
Ford Focus Electric,Ford,Focus Electric,EV,2014,1964
Ford Focus Electric,Ford,Focus Electric,EV,2015,1582
Ford Focus Electric,Ford,Focus Electric,EV,2016,901
Ford Focus Electric,Ford,Focus Electric,EV,2017,1817
Ford Focus Electric,Ford,Focus Electric,EV,2018,560
Ford Focus Electric,Ford,Focus Electric,EV,2019,0
Honda Fit EV,Honda,Fit EV,EV,2011,0
Honda Fit EV,Honda,Fit EV,EV,2012,93
Honda Fit EV,Honda,Fit EV,EV,2013,569
Honda Fit EV,Honda,Fit EV,EV,2014,407
Honda Fit EV,Honda,Fit EV,EV,2015,2
Honda Fit EV,Honda,Fit EV,EV,2016,0
Honda Fit EV,Honda,Fit EV,EV,2017,0
Honda Fit EV,Honda,Fit EV,EV,2018,0
Honda Fit EV,Honda,Fit EV,EV,2019,0
Tesla Model S,Tesla,Model S,EV,2011,0
Tesla Model S,Tesla,Model S,EV,2012,2400
Tesla Model S,Tesla,Model S,EV,2013,19400
Tesla Model S,Tesla,Model S,EV,2014,16750
Tesla Model S,Tesla,Model S,EV,2015,26200
Tesla Model S,Tesla,Model S,EV,2016,30200
Tesla Model S,Tesla,Model S,EV,2017,26500
Tesla Model S,Tesla,Model S,EV,2018,25745
Tesla Model S,Tesla,Model S,EV,2019,15090
Toyota Rav4 EV,Toyota,Rav4 EV,EV,2011,0
Toyota Rav4 EV,Toyota,Rav4 EV,EV,2012,192
Toyota Rav4 EV,Toyota,Rav4 EV,EV,2013,1005
Toyota Rav4 EV,Toyota,Rav4 EV,EV,2014,1184
Toyota Rav4 EV,Toyota,Rav4 EV,EV,2015,18
Toyota Rav4 EV,Toyota,Rav4 EV,EV,2016,0
Toyota Rav4 EV,Toyota,Rav4 EV,EV,2017,0
Toyota Rav4 EV,Toyota,Rav4 EV,EV,2018,0
Toyota Rav4 EV,Toyota,Rav4 EV,EV,2019,0
Ford C-Max Energi,Ford,C-Max Energi,PHEV,2011,0
Ford C-Max Energi,Ford,C-Max Energi,PHEV,2012,2374
Ford C-Max Energi,Ford,C-Max Energi,PHEV,2013,7154
Ford C-Max Energi,Ford,C-Max Energi,PHEV,2014,8433
Ford C-Max Energi,Ford,C-Max Energi,PHEV,2015,7591
Ford C-Max Energi,Ford,C-Max Energi,PHEV,2016,7957
Ford C-Max Energi,Ford,C-Max Energi,PHEV,2017,8140
Ford C-Max Energi,Ford,C-Max Energi,PHEV,2018,582
Ford C-Max Energi,Ford,C-Max Energi,PHEV,2019,0
Honda Accord PHV,Honda,Accord PHV,PHEV,2011,0
