region,powertrain,year,value
Australia,BEV,2011,49
Australia,BEV,2012,220
Australia,PHEV,2012,80
Australia,PHEV,2013,180
Australia,BEV,2013,410
Australia,BEV,2014,780
Australia,PHEV,2014,1100
Australia,PHEV,2015,2100
Australia,BEV,2015,1500
Australia,BEV,2016,2200
Australia,PHEV,2016,2800
Australia,PHEV,2017,3900
Australia,BEV,2017,3400
Australia,PHEV,2018,5700
Australia,BEV,2018,5200
Australia,BEV,2019,12000
Australia,PHEV,2019,8600
Australia,PHEV,2020,10000
Australia,BEV,2020,17000
Australia,BEV,2021,34000
Australia,PHEV,2021,14000
Belgium,BEV,2010,61
Belgium,PHEV,2010,9
Belgium,PHEV,2011,26
Belgium,BEV,2011,320
Belgium,BEV,2012,830
Belgium,PHEV,2012,350
Belgium,PHEV,2013,590
Belgium,BEV,2013,1200
Belgium,BEV,2014,2200
Belgium,PHEV,2014,1500
Belgium,PHEV,2015,3800
Belgium,BEV,2015,3300
Belgium,BEV,2016,5200
Belgium,PHEV,2016,11000
Belgium,PHEV,2017,23000
Belgium,BEV,2017,7500
Belgium,BEV,2018,11000
Belgium,PHEV,2018,33000
Belgium,PHEV,2019,41000
Belgium,BEV,2019,19000
Belgium,BEV,2020,32000
Belgium,PHEV,2020,73000
Belgium,PHEV,2021,120000
Belgium,BEV,2021,52000
Brazil,BEV,2014,61
Brazil,BEV,2015,120
Brazil,PHEV,2015,28
Brazil,PHEV,2016,75
Brazil,BEV,2016,250
Brazil,BEV,2017,320
Brazil,PHEV,2017,360
Brazil,PHEV,2018,700
Brazil,BEV,2018,350
Brazil,BEV,2019,890
Brazil,PHEV,2019,2100
Brazil,PHEV,2020,3800
Brazil,BEV,2020,1600
Brazil,BEV,2021,3600
Brazil,PHEV,2021,9100
Canada,BEV,2011,220
Canada,PHEV,2011,300
Canada,PHEV,2012,1700
Canada,BEV,2012,840
Canada,BEV,2013,2500
Canada,PHEV,2013,3200
Canada,PHEV,2014,5400
Canada,BEV,2014,5300
Canada,BEV,2015,9700
Canada,PHEV,2015,8000
Canada,PHEV,2016,14000
Canada,BEV,2016,15000
Canada,BEV,2017,24000
Canada,PHEV,2017,22000
Canada,PHEV,2018,44000
Canada,BEV,2018,46000
Canada,PHEV,2019,62000
Canada,BEV,2019,79000
Canada,BEV,2020,130000
